price,room_number,square_footage,floor,elevator,balcony,registered,distance
90000.0,2.5,60.0,8,1,1,1,2.973
92000.0,2.0,46.0,0,0,1,0,2.024
92000.0,2.5,54.0,5,0,1,1,0.58
95000.0,2.0,56.0,6,1,0,1,1.291
105000.0,1.0,30.0,1,1,0,1,0.982
110000.0,1.0,40.0,0,1,0,1,0.0
97500.0,3.0,73.0,-1,0,0,0,10.139
112000.0,2.5,60.0,5,0,0,1,18.95
60500.0,3.5,55.0,3,1,1,1,19.902
98000.0,3.0,70.0,1,0,1,1,12.167
359900.0,3.0,84.0,1,0,0,1,19.212
119000.0,2.0,50.0,1,1,1,1,2.724
60500.0,3.5,55.0,2,1,1,1,19.902
59000.0,2.0,57.0,1,0,1,1,0.0
59000.0,2.5,57.0,3,0,1,1,0.0
61000.0,2.0,53.0,2,0,1,0,12.807
88000.0,5.0,86.0,6,0,0,1,0.58
83600.0,3.5,88.0,6,0,0,0,0.58
120000.0,2.0,52.0,3,0,1,1,2.728
118800.0,2.0,54.0,1,0,0,0,1.117
79700.0,2.0,110.0,2,0,1,1,0.0
79800.0,5.0,74.0,6,0,0,0,0.58
380000.0,3.5,130.0,2,0,0,0,1.739
51700.0,2.5,47.0,3,1,1,1,19.902
34000.0,2.0,46.0,1,0,1,0,18.011
117000.0,2.0,40.0,3,0,0,1,9.319
66150.0,2.5,63.0,1,0,1,1,18.946
117000.0,3.0,73.0,3,0,1,1,2.1
50000.0,1.0,38.0,-1,0,1,1,1.202
113750.0,3.0,65.0,1,0,1,1,3.554
48000.0,2.5,52.0,4,0,0,0,5.239
23000.0,0.5,21.0,2,0,0,1,3.831
48000.0,1.0,40.0,3,0,1,1,3.698
44400.0,1.0,37.0,3,0,1,1,3.698
48000.0,1.0,40.0,3,0,1,1,3.698
44400.0,1.5,37.0,3,0,1,1,3.243
44400.0,1.0,37.0,3,0,1,1,5.32
59500.0,1.5,52.0,3,0,1,1,3.77
30000.0,1.5,40.0,0,0,0,0,5.32
56000.0,2.5,56.0,1,0,1,0,3.67
70000.0,2.5,66.0,4,0,1,1,3.511
68900.0,2.0,57.0,2,0,0,0,3.505
75000.0,1.5,52.0,2,0,1,1,5.32
96000.0,2.0,96.0,2,0,0,1,21.293
59500.0,4.0,76.0,-1,0,0,1,1.242
96000.0,3.5,71.0,3,1,1,1,0.711
68000.0,2.0,33.0,1,1,1,1,21.293
44000.0,2.0,44.0,-1,0,0,1,21.293
289000.0,4.0,188.0,5,1,1,1,1.635
107000.0,3.0,136.0,1,0,1,1,21.293
299000.0,4.0,188.0,5,1,1,1,3.897
109000.0,2.0,65.0,4,1,1,1,9.365
108800.0,4.0,56.0,7,1,0,1,3.696
96000.0,4.0,97.0,2,0,1,1,3.557
107000.0,4.0,137.0,1,0,1,1,3.557
80000.0,4.0,66.0,0,0,1,1,3.302
130000.0,4.0,96.0,3,1,1,1,1.692
138000.0,4.0,127.0,3,0,1,1,2.969
110000.0,1.5,46.0,1,1,1,0,1.064
105000.0,3.5,73.0,3,1,1,1,3.581
82000.0,4.0,102.0,1,0,1,0,3.195
105000.0,4.0,101.0,7,1,0,1,3.696
140000.0,4.0,137.0,0,0,1,1,3.557
110000.0,5.0,123.0,4,0,0,0,1.536
99000.0,3.5,86.0,3,0,0,1,2.535
99000.0,4.0,86.0,3,0,1,1,2.535
111911.0,4.0,122.0,3,0,1,1,4.363
88000.0,3.5,53.0,0,0,0,0,3.302
123000.0,3.5,81.0,0,0,0,1,3.666
59911.0,1.5,43.0,0,0,1,1,1.128
62000.0,2.5,60.0,4,0,0,1,21.293
90867.0,1.5,43.0,1,1,0,0,1.314
258300.0,4.0,123.0,5,0,1,1,0.78
55000.0,1.0,36.0,0,0,0,1,2.505
47000.0,1.0,29.0,-1,0,0,1,0.562
58000.0,1.5,40.0,0,1,0,1,1.285
68000.0,1.0,45.0,4,0,1,1,2.1
112200.0,3.0,66.0,0,1,1,1,2.405
57500.0,1.0,27.0,1,0,0,1,1.584
125000.0,1.0,50.0,2,1,1,1,0.804
66000.0,2.5,55.0,0,1,0,1,4.633
45000.0,0.5,20.0,0,0,0,1,0.395
54900.0,2.0,74.0,2,0,0,1,5.731
195000.0,4.0,113.0,2,0,1,1,1.128
236000.0,4.0,90.0,2,1,1,1,0.913
66000.0,2.5,41.0,1,0,1,1,3.843
80500.0,1.0,35.0,0,1,0,0,1.314
205000.0,3.5,100.0,5,1,1,1,1.133
71000.0,0.5,29.0,4,0,1,1,0.562
124000.0,2.0,62.0,1,0,1,0,2.499
125000.0,2.0,100.0,0,1,1,1,2.29
100633.0,2.0,61.0,1,1,1,0,1.763
126500.0,2.0,55.0,-1,0,1,1,2.29
103000.0,2.0,62.0,0,0,1,1,2.42
115000.0,2.0,80.0,3,1,1,0,1.752
79350.0,2.0,46.0,1,1,1,0,1.763
130200.0,2.0,84.0,0,0,0,1,2.06
137000.0,2.0,96.0,0,0,0,1,2.227
100000.0,2.5,68.0,20,1,1,1,2.612
135000.0,3.0,78.0,10,1,0,1,1.685
132500.0,2.5,60.0,7,1,1,1,1.23
126000.0,2.5,60.0,1,1,0,1,1.378
137000.0,2.0,49.0,4,1,0,1,13.781
135000.0,2.0,55.0,5,0,0,1,1.361
130000.0,2.5,60.0,4,0,1,1,0.488
128000.0,2.0,42.0,4,1,1,1,8.942
130000.0,3.0,63.0,2,0,1,1,1.939
127500.0,2.0,72.0,2,1,0,1,8.296
122500.0,2.5,70.0,1,1,1,1,0.913
128000.0,3.0,80.0,1,0,1,1,12.62
124900.0,2.0,61.0,0,1,0,1,0.969
122500.0,2.5,67.0,5,1,0,1,3.129
105000.0,2.0,49.0,6,1,0,1,0.777
121500.0,2.0,64.0,3,0,0,1,2.917
115000.0,3.0,62.0,0,0,1,1,0.379
111000.0,1.0,31.0,7,1,1,1,0.011
120000.0,2.0,61.0,5,0,1,1,0.62
120000.0,2.0,51.0,5,0,1,1,0.62
120000.0,2.0,51.0,5,1,1,1,0.62
75000.0,2.0,54.0,3,0,0,1,0.606
120000.0,2.0,51.0,5,1,0,1,2.532
107000.0,2.0,136.0,1,0,1,1,3.557
105000.0,2.5,50.0,0,1,0,1,1.844
110000.0,1.5,44.0,2,1,0,1,2.216
105000.0,1.0,39.0,0,1,1,1,1.222
107200.0,2.0,46.0,0,1,0,0,0.703
105000.0,2.0,45.0,8,1,0,1,1.528
102000.0,2.0,37.0,2,0,0,1,1.21
99900.0,3.0,73.0,9,1,1,1,2.612
102500.0,3.0,57.0,3,0,1,1,2.303
73000.0,2.0,43.0,4,1,1,1,8.212
99000.0,1.5,45.0,3,0,0,1,0.197
98000.0,1.0,42.0,8,1,1,1,8.775
120800.0,2.0,50.0,0,0,0,0,0.882
97500.0,3.0,80.0,0,1,1,0,0.64
99000.0,2.0,59.0,4,1,1,1,0.78
69000.0,2.0,47.0,0,0,1,1,0.546
94000.0,1.0,32.0,2,0,1,1,4.865
70900.0,3.0,67.0,5,0,0,0,5.32
70000.0,1.0,30.0,6,1,1,1,1.152
89900.0,2.0,62.0,4,0,0,0,0.968
90000.0,4.5,132.0,0,0,1,1,4.515
90000.0,2.0,55.0,0,0,0,1,0.746
71500.0,2.0,55.0,3,0,1,1,3.204
89900.0,2.0,62.0,15,1,0,1,2.612
89000.0,3.0,61.0,3,0,0,1,4.313
98000.0,1.0,42.0,8,1,1,1,8.775
71500.0,2.0,55.0,1,0,1,1,3.204
75000.0,2.5,52.0,2,0,0,1,0.606
72000.0,1.0,36.0,4,0,0,1,9.22
65400.0,2.0,47.0,0,1,1,0,4.754
66500.0,2.0,67.0,1,0,1,1,19.766
109990.0,1.0,54.0,4,0,0,1,1.152
75800.0,0.5,24.0,0,1,0,1,1.765
69000.0,2.0,37.0,0,0,0,1,1.361
64900.0,1.0,28.0,0,0,0,1,0.778
99000.0,1.0,46.0,5,1,1,1,0.913
115000.0,2.0,62.0,2,1,1,1,2.702
119990.0,2.0,95.0,4,1,1,0,1.584
70000.0,0.5,28.0,1,1,0,1,1.634
64100.0,2.0,43.0,3,1,1,0,4.754
60000.0,1.0,32.0,1,0,0,1,8.995
59900.0,1.0,55.0,0,1,1,1,9.049
60000.0,1.5,36.0,3,0,1,1,4.352
108000.0,3.0,54.0,2,0,0,0,2.499
115000.0,2.0,62.0,1,1,0,1,2.702
40000.0,2.0,40.0,1,0,0,1,19.766
59900.0,1.0,55.0,0,1,1,1,0.919
46000.0,2.0,50.0,2,0,0,1,18.986
29000.0,2.0,46.0,0,0,1,1,20.045
57900.0,1.0,41.0,3,0,0,1,10.329
115000.0,3.0,62.0,0,0,1,1,0.379
51500.0,1.0,26.0,0,0,0,1,0.665
49900.0,0.5,23.0,0,0,0,1,2.303
45000.0,1.5,40.0,1,0,1,1,19.766
55000.0,1.5,35.0,0,0,0,1,1.339
59900.0,1.0,55.0,0,1,0,0,9.049
115000.0,2.0,47.0,1,1,1,1,1.784
116000.0,2.0,48.0,3,1,0,1,2.359
63000.0,1.0,55.0,0,0,0,1,9.049
124000.0,3.0,62.0,1,0,1,0,2.499
52800.0,2.5,51.0,1,0,1,0,10.454
64200.0,1.0,36.0,5,0,1,1,9.209
61500.0,1.0,41.0,3,0,1,1,10.621
118000.0,3.0,77.0,8,1,1,1,2.612
57000.0,1.5,38.0,0,0,1,1,10.139
45000.0,1.5,42.0,3,0,0,1,19.184
72000.0,1.0,37.0,-1,0,0,1,8.888
53000.0,0.5,16.0,6,1,0,0,1.455
54000.0,1.5,51.0,0,0,1,1,8.212
40000.0,0.5,24.0,0,0,0,0,17.44
129000.0,2.5,51.0,3,0,0,1,2.098
60000.0,1.5,34.0,0,0,1,1,12.38
50000.0,1.5,37.0,0,1,0,0,4.754
42000.0,1.5,38.0,1,0,1,1,18.986
53000.0,2.0,48.0,0,0,0,1,10.621
41000.0,1.5,40.0,0,0,1,1,19.766
41000.0,1.5,40.0,1,0,1,1,19.766
162400.0,2.0,56.0,5,1,1,1,1.584
119900.0,2.0,50.0,3,0,0,0,2.175
