id,price,link,offer_type,property_type,city,municipality,room_number,square_footage,heating,floor,bathroom_number,build_year,elevator,balcony,land_area,registered,parking
3973,117000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5eaad22e27317158631efae7,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,71,"grejanje na gas",NULL,1,2020,1,1,0,0,0
4426,116830,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bistrica/60ef031836cd2c42fa0fcb41,prodaja,stanovi,"Novi Sad","Novo Naselje",4,81,"grejanje na gas",NULL,1,2020,1,1,0,0,0
13574,115360,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla/5fe23503fa207c11900d5c35,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,70,"centralno grejanje",NULL,1,2020,1,1,0,0,0
3975,115350,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5eaad22d27317158631efae3,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,70,"grejanje na gas",NULL,1,2020,1,1,0,0,0
9853,115000,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/generala-zaha/5fdcbeb2c1c3bc331604f970,prodaja,stanovi,Beograd,"Zvezdara opština",1.5,80,"etažno grejanje",NULL,1,2020,1,1,0,0,0
20239,114000,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5fbea216bfca194bd11073f8,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,63,"grejanje na gas",NULL,1,2020,1,1,0,0,0
16845,113500,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/salajka/5f44e3b1c2e815495c383b1d,prodaja,stanovi,"Novi Sad","Gradske lokacije",2,66,"grejanje na gas",NULL,1,2020,1,1,0,0,0
467,113300,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/petrovaradin/61dc203da220b96df423442b,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,90,"grejanje na gas",NULL,1,2020,0,1,0,0,0
16991,113300,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/61efe3bfe3710f0e061a015e,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,66,"grejanje na gas",NULL,1,2020,1,1,0,1,0
19334,113300,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/telep/61efe3bfe3710f0e061a015e,prodaja,stanovi,"Novi Sad","Gradske lokacije",3,66,"grejanje na gas",NULL,1,2020,1,1,0,1,0
13844,113230,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5fea126711b983416d440306,prodaja,stanovi,"Novi Sad","Stari Grad",3,63,NULL,NULL,1,2020,1,1,0,0,0
14205,113100,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-patrijarha-pavla-somborski-bulevar/5f4ce8c9f7ad5f0fbb114473,prodaja,stanovi,"Novi Sad",Telep,4,89,"centralno grejanje",NULL,1,2020,1,1,0,0,0
